feature,category,n,mean,median,std
Bwd Packet Length Std,BENIGN,379334,147.06830574128264,0.0,294.9327151297336
Bwd Packet Length Std,Brute Force,1830,80.23118407991257,14.54975045,100.994106583216
Bwd Packet Length Std,DDoS,25603,2103.5483082533324,2189.772933,1874.068760588505
Bwd Packet Length Std,DoS,38751,2059.08902178203,2120.732252,1179.844019281593
Bwd Packet Length Std,PortScan,391,84.62246223386188,0.0,413.12492936123044
Bwd Packet Length Std,Web Attack,429,37.853054192074595,0.0,168.43034374733313
Bwd Packet Length Mean,BENIGN,379334,188.43226157591087,97.0,301.41162039990013
Bwd Packet Length Mean,Brute Force,1830,34.30789801735519,12.53333333,38.12677683930924
Bwd Packet Length Mean,DDoS,25603,1478.1975830067574,1934.5,1164.903609244473
Bwd Packet Length Mean,DoS,38751,1596.752072111223,1932.5,756.3263292009389
Bwd Packet Length Mean,PortScan,391,82.63231031539641,6.0,389.9431661402291
Bwd Packet Length Mean,Web Attack,429,57.85955091958042,0.0,238.00889649978853
Avg Bwd Segment Size,BENIGN,379334,188.432261575932,97.0,301.41162039999693
Avg Bwd Segment Size,Brute Force,1830,34.30789801735519,12.53333333,38.12677683930924
Avg Bwd Segment Size,DDoS,25603,1478.1975830067574,1934.5,1164.903609244473
Avg Bwd Segment Size,DoS,38751,1596.752072111223,1932.5,756.3263292009389
Avg Bwd Segment Size,PortScan,391,82.63231031539641,6.0,389.9431661402291
Avg Bwd Segment Size,Web Attack,429,57.85955091958042,0.0,238.00889649978853
Bwd Packet Length Max,BENIGN,379334,470.0502565021854,104.0,869.1452428182056
Bwd Packet Length Max,Brute Force,1830,340.079781420765,34.0,450.5394278264624
Bwd Packet Length Max,DDoS,25603,4608.520446822638,5755.0,3976.8081681267263
Bwd Packet Length Max,DoS,38751,5004.162860313282,5792.0,2707.043084310729
Bwd Packet Length Max,PortScan,391,197.65984654731457,6.0,955.0914411311766
Bwd Packet Length Max,Web Attack,429,123.41491841491842,0.0,603.6261495123052
Packet Length Std,BENIGN,379334,174.08004684225943,35.05424368,327.6530203806879
Packet Length Std,Brute Force,1830,70.69715323029399,12.67767066,85.13960908188221
Packet Length Std,DDoS,25603,1578.56559300639,1903.962654,1332.453200439898
Packet Length Std,DoS,38751,1523.209312435834,1620.879326,773.9816102422674
Packet Length Std,PortScan,391,71.48652663551663,2.309401077,338.86530010602615
Packet Length Std,Web Attack,429,36.91448153822844,0.0,143.83942196989477
Max Packet Length,BENIGN,379334,583.8934975509709,110.0,1154.5895642580713
Max Packet Length,Brute Force,1830,343.1688524590164,34.0,448.2395299724873
Max Packet Length,DDoS,25603,4610.707846736711,5755.0,3974.273447681486
Max Packet Length,DoS,38751,5012.210317153105,5792.0,2692.7401329568584
Max Packet Length,PortScan,391,199.08695652173913,6.0,954.8641399447926
Max Packet Length,Web Attack,429,126.27972027972028,0.0,605.3114793181393
Average Packet Size,BENIGN,379334,141.81858761692382,84.5,204.62305810061252
Average Packet Size,Brute Force,1830,37.25275202004481,12.29166667,37.63705136182573
Average Packet Size,DDoS,25603,822.6421334586785,898.0769231,659.4242433488298
Average Packet Size,DoS,38751,796.4490599179991,916.1538462,370.686414914283
Average Packet Size,PortScan,391,48.43730139521228,3.0,226.09381409200904
Average Packet Size,Web Attack,429,30.306288718648016,0.0,114.45097264087757
Packet Length Mean,BENIGN,379334,125.83173966407641,66.16666667,197.1671089716626
Packet Length Mean,Brute Force,1830,35.96459774404918,11.8,37.34779431916509
Packet Length Mean,DDoS,25603,736.8565677324698,833.9285714,585.0976772299439
Packet Length Mean,DoS,38751,736.0253142045982,850.7142857,339.22025036329654
Packet Length Mean,PortScan,391,43.36263345873402,2.4,204.5934423071604
Packet Length Mean,Web Attack,429,29.634826582074595,0.0,112.7932269967502
Packet Length Variance,BENIGN,379334,137657.67185139502,1228.8,635620.1967220589
Packet Length Variance,Brute Force,1830,12242.879441811972,160.7233333,17314.729413647103
Packet Length Variance,DDoS,25603,4266516.97934725,3625073.789,4563820.174766735
Packet Length Variance,DoS,38751,2919241.7771478724,2627249.789,2166794.7806761763
Packet Length Variance,PortScan,391,119646.33301014372,5.333333333,616226.2898885118
Packet Length Variance,Web Attack,429,22004.230336083914,0.0,123412.44059163534
Fwd IAT Std,BENIGN,379334,1483487.0986903068,0.0,5035312.707536488
Fwd IAT Std,Brute Force,1830,882888.3460264754,956859.7217,555497.7267623768
Fwd IAT Std,DDoS,25603,6067191.242987368,910939.5341,10558464.442216473
Fwd IAT Std,DoS,38751,28997049.16252036,35100000.0,17371327.453919407
Fwd IAT Std,PortScan,391,162191.7016838508,0.0,1107277.3255968299
Fwd IAT Std,Web Attack,429,3379979.7705914755,3831576.181,1257424.5902330943
